period_category,topic,count,name
2015_2021_cs.CL,0,446,0_summarization_summary_abstractive_document summarization
2015_2021_cs.CL,1,350,1_ner_recognition ner_entity recognition_entity
2015_2021_cs.CL,2,334,2_ctc_transducer_speech recognition_wer
2015_2021_cs.CL,3,288,3_covid_pandemic_covid pandemic_misinformation
2015_2021_cs.CL,4,286,4_relation extraction_relation_distant supervision_extraction
2015_2021_cs.CL,5,246,5_vector_vec_skip gram_embed
2015_2021_cs.CL,6,238,6_mrc_read comprehension_comprehension_machine read
2015_2021_cs.CL,7,207,7_aspect_absa_aspect base_base sentiment
2015_2021_cs.CL,8,207,8_topic_lda_dirichlet_dirichlet allocation
2015_2021_cs.CL,9,198,9_wav vec_wav_speech representation_acoustic
2015_2021_cs.CL,10,197,10_label classification_multi label_document classification_classification
2015_2021_cs.CL,11,191,11_tt_tacotron_vc_prosody
2015_2021_cs.CL,12,179,12_depression_mental_mental health_health
2015_2021_cs.CL,13,178,13_cross lingual_lingual_mbert_lingual transfer
2015_2021_cs.CL,14,177,14_qa_answer selection_answer_question answer
2015_2021_cs.CL,15,172,15_bias_gender_gender bias_debiasing
2015_2021_cs.CL,16,170,16_sentiment_polarity_opinion_lexicon
2015_2021_cs.CL,17,169,17_clinical_patient_note_ehr
2015_2021_cs.CL,18,156,18_neural generation_generation_control_control generation
2015_2021_cs.CL,19,155,19_law_zipf_zipf law_phylogenetic
2015_2021_cs.CL,20,152,20_morphological_inflection_morphology_lemma
2015_2021_cs.CL,21,152,21_rnns_rnn_recurrent_lstm
2015_2021_cs.CL,22,151,22_response_response selection_response generation_multi turn
2015_2021_cs.CL,23,147,23_fake news_fake_news_news detection
2015_2021_cs.CL,24,147,24_speech translation_st_simultaneous_subtitle
2015_2021_cs.CL,25,144,25_explanation_rationale_faithful_faithfulness
2015_2021_cs.CL,26,144,26_commonsense_commonsense reason_commonsense knowledge_reason
2015_2021_cs.CL,27,143,27_citation_scientific_publication_cite
2015_2021_cs.CL,28,142,28_hate_hate speech_speech detection_hateful
2015_2021_cs.CL,29,142,29_caption_image caption_image_generate caption
2015_2021_cs.CL,30,142,30_code_source code_program_software
2015_2021_cs.CL,31,141,31_vqa_visual question_answer vqa_visual
2015_2021_cs.CL,32,139,32_modal_vision_vl_image
2015_2021_cs.CL,33,136,33_political_ideology_polarization_parliament
2015_2021_cs.CL,34,130,34_review_customer_product_rating
2015_2021_cs.CL,35,128,35_wsd_sense_sense disambiguation_disambiguation
2015_2021_cs.CL,36,125,36_semantic parser_semantic parsing_parsing_logical form
2015_2021_cs.CL,37,125,37_video_video caption_caption_videos
2015_2021_cs.CL,38,121,38_emotion_intensity_affective_emotion classification
2015_2021_cs.CL,39,120,39_mlm_tl_pretraining_transfer learn
2015_2021_cs.CL,40,120,40_argument_argumentation_argumentative_argument mining
2015_2021_cs.CL,41,120,41_legal_court_legal domain_contract
2015_2021_cs.CL,42,118,42_attack_adversarial_adversarial example_adversarial attack
2015_2021_cs.CL,43,116,43_claim_fact check_check_fact
2015_2021_cs.CL,44,115,44_separation_speech separation_overlap speech_speech enhancement
2015_2021_cs.CL,45,111,45_bilingual lexicon_bilingual_lexicon induction_bli
2015_2021_cs.CL,46,110,46_coreference_coreference resolution_resolution_event coreference
2015_2021_cs.CL,47,110,47_query document_ir_trec_retrieval
