period,topic,count,name,representation
1991_1998,0,307,0_word_language_model_method,0_word_language_model_method
1991_1998,1,295,1_grammar_parsing_parser_structure,1_grammar_parsing_parser_structure
1991_1998,2,72,2_discourse_agent_centering_belief,2_discourse_agent_centering_belief
1991_1998,3,70,3_translation_english_machine_bilingual,3_translation_english_machine_bilingual
1991_1998,4,48,4_tagger_tagging_corpus_speech,4_tagger_tagging_corpus_speech
1991_1998,5,34,5_planning_problem_search_plan,5_planning_problem_search_plan
1991_1998,6,27,6_learning_algorithm_network_tree,6_learning_algorithm_network_tree
1991_1998,7,18,7_morphological_correction_error_spelling,7_morphological_correction_error_spelling
