Topic,Count,Name,Representation,Representative_Docs
-1,181,-1_language_paper_model_problem,"['language', 'paper', 'model', 'problem', 'based', 'constraint', 'text', 'present', 'theory', 'learning']","['thesis investigate three problem involving probabilistic modeling language smoothing n gram model statistical grammar induction bilingual sentence alignment three problem employ model three different level language involve word based constituent based sentence based model respectively describe technique improving modeling language level surpass performance existing algorithm problem approach three problem using three different framework relate framework bayesian paradigm show framework used appropriate given problem finally show research address two central issue probabilistic modeling sparse data problem problem inducing hidden structure', 'cue phrase may used discourse sense explicitly signal discourse structure also sentential sense convey semantic rather structural information correctly classifying cue phrase discourse sentential critical natural language processing system exploit discourse structure e g performing task anaphora resolution plan recognition paper explores use machine learning classifying cue phrase discourse sentential two machine learning program cgrendel c used induce classification model set pre classified cue phrase feature text speech machine learning shown effective technique automating generation classification model also improving upon previous result compared manually derived classification model already literature learned model often perform higher accuracy contain new linguistic insight data addition ability automatically construct classification model make easier comparatively analyze utility alternative feature representation data finally ease retraining make learning approach scalable flexible manual method', 'cue phrase may used discourse sense explicitly signal discourse structure also sentential sense convey semantic rather structural information correctly classifying cue phrase discourse sentential critical natural language processing system exploit discourse structure e g performing task anaphora resolution plan recognition paper explores use machine learning classifying cue phrase discourse sentential two machine learning program cgrendel c used induce classification model set pre classified cue phrase feature text speech machine learning shown effective technique automating generation classification model also improving upon previous result compared manually derived classification model already literature learned model often perform higher accuracy contain new linguistic insight data addition ability automatically construct classification model make easier comparatively analyze utility alternative feature representation data finally ease retraining make learning approach scalable flexible manual method']"
0,307,0_word_language_model_method,"['word', 'language', 'model', 'method', 'speech', 'information', 'corpus', 'based', 'paper', 'text']","['resolution lexical ambiguity commonly termed word sense disambiguation expected improve analytical accuracy task sensitive lexical semantics task include machine translation information retrieval parsing natural language understanding lexicography reflecting growth utilization machine readable text word sense disambiguation technique explored variously context corpus based approach within one corpus based framework similarity based method system use database example sentence manually annotated correct word sens given input system search database similar example input lexical ambiguity word contained input resolved selecting sense annotation retrieved example research apply method resolution verbal polysemy similarity two example computed weighted average similarity complement governed target polysemous verb explore similarity based verb sense disambiguation focusing following three method first propose weighting schema verb complement similarity computation second similarity based technique overhead manual supervision searching large sized database prohibitive resolve problem propose method select small number effective example system usage finally efficiency system highly dependent similarity computation used maximize efficiency propose method integrates advantage previous method similarity computation', 'recognizing shallow linguistic pattern basic syntactic relationship word common task applied natural language text processing common practice approaching task tedious manual definition possible pattern structure often form regular expression finite automaton paper present novel memory based learning method recognizes shallow pattern new text based bracketed training corpus training data stored efficient suffix tree data structure generalization performed line recognition time comparing subsequence new text positive negative evidence corpus way information training lost happen learning system construct single generalized model time training paper present experimental result recognizing noun phrase subject verb verb object pattern english since learning approach enables easy porting new domain plan apply syntactic pattern language sub language pattern information extraction', 'previous approach analyzing spontaneously spoken language often based encoding syntactic semantic knowledge manually symbolically progress using statistical connectionist language model many current spoken language system still use relatively brittle hand coded symbolic grammar symbolic semantic component contrast describe called screening approach learning robust processing spontaneously spoken language screening approach flat analysis us shallow sequence category representation analyzing utterance various syntactic semantic dialog level rather using deeply structured symbolic analysis use flat connectionist analysis screening approach aim supporting speech language processing using data driven learning robustness connectionist network order test approach developed screen system based new robust learned flat analysis paper focus detailed description screen architecture flat syntactic semantic analysis interaction speech recognizer detailed evaluation analysis robustness influence noisy incomplete input main result paper flat representation allow robust processing spontaneous spoken language deeply structured representation particular show fault tolerance learning capability connectionist network support flat analysis providing robust spoken language processing within overall hybrid symbolic connectionist framework']"
1,295,1_grammar_parsing_parser_structure,"['grammar', 'parsing', 'parser', 'structure', 'language', 'paper', 'based', 'sentence', 'logic', 'algorithm']","['paper describes parser categorial grammar provides fully word word incremental interpretation parser require fragment sentence form constituent thereby avoids problem spurious ambiguity paper includes brief discussion relationship basic categorial grammar formalism hpsg dependency grammar lambek calculus also includes discussion issue arise parsing lexicalised grammar possibility using statistical technique tuning particular language', 'dependency grammar used linguist basis syntactic component grammar formalism also used natural language parsing china attempt made use grammar formalism parse chinese sentence using corpus based technique paper review property dependency grammar embodied four axiom well formedness condition dependency structure shown allowing multiple governor done follower formalism unnecessary practice augmenting dependency grammar functional label also discussed light building functional structure sentence parsed also facilitate semantic interpretation', 'paper provide parsing respect grammar expressed general tfs based formalism restriction ale motivation design abstract wam like machine formalism consider parsing computational process use operational semantics guide design control structure abstract machine emphasize notion abstract typed feature structure afss encode essential information tfss define unification afss rather tfss introduce explicit construct multi rooted feature structure mrs naturally extend tfss use represent phrasal sign well grammar rule also employ abstraction mrs give mathematical foundation needed manipulating formally define grammar language generate describe model computation corresponds bottom chart parsing grammar written tfs based formalism executed parser show computation correct respect independent definition finally discus class grammar computation terminate prove termination guaranteed line parsable grammar']"
2,72,2_discourse_agent_centering_belief,"['discourse', 'agent', 'centering', 'belief', 'model', 'pronoun', 'structure', 'dialogue', 'sc', 'utterance']","['paper propose computational treatment resolution zero pronoun japanese discourse using adaptation centering algorithm able factor language specific dependency one parameter centering algorithm previous analysis stipulated zero pronoun cospecifier must share grammatical function property sc subject sc nonsubject show property sharing stipulation unneeded addition propose notion sc topic ambiguity within centering framework predicts ambiguity occur japanese discourse analysis implication design language independent discourse module natural language system centering algorithm implemented hpsg natural language system english japanese grammar', 'language japanese use zero unexpressed argument verb utterance shift topic involves risk meaning intended speaker may transparent hearer however potentially undesirable conversational strategy often occurs course naturally occurring discourse chapter report empirical study utterance zero japanese newspaper article utterance analyzed term centering transition form center realized referring expression also examine lexical subcategorization information tense aspect order test hypothesis speaker expects hearer use information determining global discourse structure explain occurrence zero sc retain sc rough shift centering transition claiming zero used case shift center supported contextual information lexical semantics tense aspect agreement feature propose algorithm centering incorporate observation integrate centering global discourse structure thus enhance ability non local pronoun resolution', 'centering formulated model relationship attentional state form referring expression coherence utterance within discourse segment grosz joshi weinstein grosz joshi weinstein chapter argue restriction centering operating within discourse segment abandoned order integrate centering model global discourse structure within segment restriction cause three problem first problem center often continued discourse segment boundary pronominal referring expression whose form identical occur within discourse segment second problem recent work shown listener perceive segment boundary various level granularity centering model universal processing phenomenon implausible listener using different centering algorithm third issue even utterance within discourse segment strong contrast utterance whose adjacent utterance within segment hierarchically recent whose adjacent utterance within segment linearly recent chapter argues problem eliminated replacing grosz sidner stack model attentional state alternate model cache model show cache model easily integrated centering algorithm provide several type data naturally occurring discourse support proposed integrated model future work provide additional support claim examination larger corpus naturally occurring discourse']"
3,70,3_translation_english_machine_bilingual,"['translation', 'english', 'machine', 'bilingual', 'text', 'language', 'mt', 'method', 'word', 'model']","['many multilingual nlp application need translate word different language cannot afford computational expense inducing applying full translation model application designed fast algorithm estimating partial translation model account translational equivalence word level model precision recall trade directly controlled via one threshold parameter feature make model suitable application fully statistical model hidden parameter easily conditioned information extrinsic model providing easy way integrate pre existing knowledge part speech dictionary word order etc model link word token parallel text well translation model literature unlike translation model automatically produce dictionary sized translation lexicon accuracy', 'automatic segmentation text minimal content bearing unit unsolved problem even language like english space word offer easy first approximation approximation good enough machine translation mt many word sequence translated word word paper present efficient automatic method discovering sequence word translated unit method proceeds comparing pair statistical translation model induced parallel text two language discover hundred non compositional compound iteration construct longer compound shorter one objective evaluation simple machine translation task shown method potential improve quality mt output method make assumption data applied parallel data parallel text word spelling pronunciation', 'recently several type japanese english machine translation system developed require initial process rewriting original text easily translatable japanese therefore system unsuitable translating information need speedily disseminated overcome limitation multi level translation method based constructive process theory proposed paper describes benefit using method japanese english machine translation system alt j e comparison conventional compositional method multi level translation method emphasizes importance meaning contained expression structure whole shown capable translating typical written japanese based meaning text context comparative ease hopeful carrying useful machine translation manual pre editing']"
4,48,4_tagger_tagging_corpus_speech,"['tagger', 'tagging', 'corpus', 'speech', 'based', 'word', 'rule', 'tag', 'statistical', 'tagset']","['text corpus tagged part speech information useful many area linguistic research paper new part speech tagging method based neural network net tagger presented performance compared hmm tagger trigram based tagger shown net tagger performs well trigram based tagger better hmm tagger', 'paper present result comparing statistical tagger german based decision tree rule based brill tagger german used training corpus therefore tag set train tagger applied tagger test corpus compared respective behavior particular error rate tagger perform similarly error rate around detailed error analysis seen rule based tagger problem unknown word statistical tagger result opposite token many way ambiguous unknown word fed tagger help external lexicon gertwol system error rate rule based tagger drop respective rate statistical tagger drop around combining tagger using output one tagger help lead improvement', 'recent research trainable part speech tagger explored stochastic tagging tagger obtain high accuracy linguistic information captured indirectly typically ten thousand lexical contextual probability brill trainable rule based tagger described obtained performance comparable stochastic tagger captured relevant linguistic information small number simple non stochastic rule paper describe number extension rule based tagger first describe method expressing lexical relation tagging captured stochastic tagger next show rule based approach tagging unknown word finally show tagger extended k best tagger multiple tag assigned word case uncertainty']"
5,34,5_planning_problem_search_plan,"['planning', 'problem', 'search', 'plan', 'domain', 'planner', 'algorithm', 'strategy', 'operator', 'reasoning']","['propose domain independent technique bringing well founded partial order planner closer practicality first two technique aimed improving search control keeping overhead cost low one based simple adjustment default heuristic used ucpop select plan refinement based preferring zero commitment forced plan refinement whenever possible using lifo prioritization otherwise radical technique use operator parameter domain prune search domain initially computed definition operator initial goal condition using polynomial time algorithm propagates set constant operator graph starting initial condition planning parameter domain used prune nonviable operator instance remove spurious clobbering threat experiment based modification ucpop improved plan goal selection strategy gave speedup factor ranging variety problem nontrivial unmodified version crucially hardest problem gave greatest improvement pruning technique based parameter domain often gave speedup order magnitude difficult problem default ucpop search strategy improved strategy lisp code technique test problem provided line appendix', 'paradigm transformational planning case based planning plan debugging involve process known plan adaptation modifying repairing old plan solves new problem paper provide domain independent algorithm plan adaptation demonstrate sound complete systematic compare adaptation algorithm literature approach based view planning searching graph partial plan generative planning start graph root move node node using plan refinement operator planning adaptation library plan arbitrary node plan graph starting point search plan adaptation algorithm apply refinement operator available generative planner also retract constraint step plan algorithm completeness ensures adaptation algorithm eventually search entire graph systematicity ensures without redundantly searching part graph', 'evidence least commitment planner efficiently handle planning problem involve difficult goal interaction evidence led common belief delayed commitment best possible planning strategy however recently found evidence eager commitment planner handle variety planning problem efficiently particular difficult operator choice resigned futility trying find universally successful planning strategy devised planner used study domain problem best planning strategy article introduce new planning algorithm flecs us flexible commitment strategy respect plan step ordering able use strategy delayed commitment eager commitment combination delayed eager operator ordering commitment allows flecs take advantage benefit explicitly using simulated execution state reasoning planning constraint flecs vary commitment strategy across different problem domain also course single planning problem flecs represents novel contribution planning explicitly provides choice commitment strategy use planning flecs provides framework investigate mapping planning domain problem efficient planning strategy']"
6,27,6_learning_algorithm_network_tree,"['learning', 'algorithm', 'network', 'tree', 'theory', 'decision', 'dag', 'data', 'new', 'value']","['paper introduces new algorithm data structure quick counting machine learning datasets focus counting task constructing contingency table approach also applicable counting number record dataset match conjunctive query subject certain assumption cost operation shown independent number record dataset loglinear number non zero entry contingency table provide sparse data structure adtree minimize memory use provide analytical worst case bound structure several model data distribution empirically demonstrate tractably sized data structure produced large real world datasets using sparse tree structure never allocates memory count zero b never allocating memory count deduced count c bothering expand tree fully near leaf show adtree used accelerate bayes net structure finding algorithm rule learning algorithm feature selection algorithm provide number empirical result comparing adtree method traditional direct counting approach also discus possible us adtrees machine learning method discus merit adtrees comparison alternative representation kd tree r tree frequent set', 'paper multidisciplinary review empirical statistical learning graphical model perspective well known example graphical model include bayesian network directed graph representing markov chain undirected network representing markov field graphical model extended model data analysis empirical learning using notation plate graphical operation simplifying manipulating problem provided including decomposition differentiation manipulation probability model exponential family two standard algorithm schema learning reviewed graphical framework gibbs sampling expectation maximization algorithm using operation schema popular algorithm synthesized graphical specification includes version linear regression technique feed forward network learning gaussian discrete bayesian network data paper concludes sketching implication data analysis summarizing popular algorithm fall within framework presented main original contribution decomposition technique demonstration graphical model provide framework understanding developing complex learning algorithm', 'multiclass learning problem involve finding definition unknown function f x whose range discrete set containing k gt value e k class definition acquired studying collection training example form x f x existing approach multiclass learning problem include direct application multiclass algorithm decision tree algorithm c cart application binary concept learning algorithm learn individual binary function k class application binary concept learning algorithm distributed output representation paper compare three approach new technique error correcting code employed distributed output representation show output representation improve generalization performance c backpropagation wide range multiclass learning task also demonstrate approach robust respect change size training sample assignment distributed representation particular class application overfitting avoidance technique decision tree pruning finally show like method error correcting code technique provide reliable class probability estimate taken together result demonstrate error correcting output code provide general purpose method improving performance inductive learning program multiclass problem']"
7,18,7_morphological_correction_error_spelling,"['morphological', 'correction', 'error', 'spelling', 'morphology', 'word', 'language', 'turkish', 'rule', 'inflectional']","['paper present constraint based morphological disambiguation approach applicable language complex morphology specifically agglutinative language productive inflectional derivational morphological phenomenon certain respect approach motivated brill recent work observation transformational approach directly applicable language like turkish system combine corpus independent hand crafted constraint rule constraint rule learned via unsupervised learning training corpus additional statistical information corpus morphologically disambiguated hand crafted rule linguistically motivated tuned improve precision without sacrificing recall unsupervised learning process produce two set rule choose rule choose morphological parses lexical item satisfying constraint effectively discarding parses ii delete rule delete parses satisfying constraint approach also us novel approach unknown word processing employing secondary morphological processor recovers relevant inflectional derivational information lexical item whose root unknown approach well percent token remains unknown text experimented result indicate combining hand crafted statistical learned information source attain recall percent corresponding precision percent ambiguity parses per token', 'thesis present constraint based morphological disambiguation approach applicable language complex morphology specifically agglutinative language productive inflectional derivational morphological phenomenon morphologically complex language like turkish automatic morphological disambiguation involves selecting token morphological parse right set inflectional derivational marker system combine corpus independent hand crafted constraint rule constraint rule learned via unsupervised learning training corpus additional statistical information obtained corpus morphologically disambiguated hand crafted rule linguistically motivated tuned improve precision without sacrificing recall certain respect approach motivated brill recent work observation transformational approach directly applicable language like turkish approach also us novel approach unknown word processing employing secondary morphological processor recovers relevant inflectional derivational information lexical item whose root unknown approach well token remains unknown text experimented result indicate combining hand crafted statistical learned information source attain recall corresponding precision ambiguity parses per token', 'error tolerant recognition enables recognition string deviate mildly string regular set recognized underlying finite state recognizer recognition application error tolerant morphological processing spelling correction approximate string matching information retrieval description concept algorithm involved give example two application context morphological analysis error tolerant recognition allows misspelled input word form corrected morphologically analyzed concurrently present application error tolerant analysis agglutinative morphology turkish word algorithm applied morphological analysis language whose morphology fully captured single possibly large finite state transducer regardless word formation process morphographemic phenomenon involved context spelling correction error tolerant recognition used enumerate correct candidate form given misspelled string within certain edit distance applied language word list comprising inflected form whose morphology fully described finite state transducer present experimental result spelling correction number language result indicate recognition work efficiently candidate generation spelling correction many european language english dutch french german italian others large word list root inflected form containing well form generating candidate solution within millisecond edit distance sparcstation spelling correction turkish error tolerant']"
